Person1,Aspect,Person2,Score
Sun,0,Sun,2
Sun,60,Sun,3
Sun,90,Sun,-2
Sun,120,Sun,3
Sun,180,Sun,-1
Sun,0,Moon,3
Sun,60,Moon,3
Sun,90,Moon,-3
Sun,120,Moon,3
Sun,180,Moon,-1
Sun,0,Mercury,2
Sun,60,Mercury,1
Sun,90,Mercury,-2
Sun,120,Mercury,2
Sun,180,Mercury,-1
Sun,0,Venus,3
Sun,60,Venus,3
Sun,90,Venus,-1
Sun,120,Venus,3
Sun,180,Venus,-2
Sun,0,Mars,2
Sun,60,Mars,3
Sun,90,Mars,-2
Sun,120,Mars,3
Sun,180,Mars,-2
Sun,0,Jupiter,3
Sun,60,Jupiter,3
Sun,90,Jupiter,1
Sun,120,Jupiter,3
Sun,180,Jupiter,1
Sun,0,Saturn,-2
Sun,60,Saturn,2
Sun,90,Saturn,-2
Sun,120,Saturn,3
Sun,180,Saturn,-2
Sun,0,Uranus,-1
Sun,60,Uranus,1
Sun,90,Uranus,-1
Sun,120,Uranus,1
Sun,180,Uranus,-1
Sun,0,Neptune,-2
Sun,60,Neptune,1
Sun,90,Neptune,-2
Sun,120,Neptune,1
Sun,180,Neptune,-2
Sun,0,Pluto,1
Sun,60,Pluto,1
Sun,90,Pluto,-1
Sun,120,Pluto,1
Sun,180,Pluto,-1
Sun,0,Ascendant,3
Sun,60,Ascendant,2
Sun,90,Ascendant,-2
Sun,120,Ascendant,2
Sun,180,Ascendant,4
Moon,0,Sun,3
Moon,60,Sun,3
Moon,90,Sun,-3
Moon,120,Sun,3
Moon,180,Sun,-1
Moon,0,Moon,3
Moon,60,Moon,3
Moon,90,Moon,-3
Moon,120,Moon,3
Moon,180,Moon,1
Moon,0,Mercury,2
Moon,60,Mercury,2
Moon,90,Mercury,-2
Moon,120,Mercury,2
Moon,180,Mercury,-2
Moon,0,Venus,3
Moon,60,Venus,3
Moon,90,Venus,-1
Moon,120,Venus,3
Moon,180,Venus,-1
Moon,0,Mars,-1
Moon,60,Mars,2
Moon,90,Mars,-3
Moon,120,Mars,2
Moon,180,Mars,-2
Moon,0,Jupiter,3
Moon,60,Jupiter,3
Moon,90,Jupiter,-1
Moon,120,Jupiter,3
Moon,180,Jupiter,-1
Moon,0,Saturn,-2
Moon,60,Saturn,2
Moon,90,Saturn,-4
Moon,120,Saturn,2
Moon,180,Saturn,-4
Moon,0,Uranus,-1
Moon,60,Uranus,2
Moon,90,Uranus,-2
Moon,120,Uranus,2
Moon,180,Uranus,-2
Moon,0,Neptune,-1
Moon,60,Neptune,2
Moon,90,Neptune,-3
Moon,120,Neptune,2
Moon,180,Neptune,-3
Moon,0,Pluto,1
Moon,60,Pluto,2
Moon,90,Pluto,-3
Moon,120,Pluto,2
Moon,180,Pluto,-3
Moon,0,Ascendant,3
Moon,60,Ascendant,3
Moon,90,Ascendant,-2
Moon,120,Ascendant,3
Moon,180,Ascendant,4
Mercury,0,Sun,2
Mercury,60,Sun,1
Mercury,90,Sun,-2
Mercury,120,Sun,2
Mercury,180,Sun,-1
Mercury,0,Moon,2
Mercury,60,Moon,2
Mercury,90,Moon,-2
Mercury,120,Moon,2
Mercury,180,Moon,-2
Mercury,0,Mercury,2
Mercury,60,Mercury,2
Mercury,90,Mercury,-4
Mercury,120,Mercury,2
Mercury,180,Mercury,-2
Mercury,0,Venus,2
Mercury,60,Venus,2
Mercury,90,Venus,-1
Mercury,120,Venus,2
Mercury,180,Venus,-1
Mercury,0,Mars,-1
Mercury,60,Mars,2
Mercury,90,Mars,-3
Mercury,120,Mars,2
Mercury,180,Mars,-3
Mercury,0,Jupiter,3
Mercury,60,Jupiter,3
Mercury,90,Jupiter,-1
Mercury,120,Jupiter,3
Mercury,180,Jupiter,-1
Mercury,0,Saturn,-2
Mercury,60,Saturn,1
Mercury,90,Saturn,-2
Mercury,120,Saturn,1
Mercury,180,Saturn,-2
Mercury,0,Uranus,1
Mercury,60,Uranus,1
Mercury,90,Uranus,1
Mercury,120,Uranus,1
Mercury,180,Uranus,1
Mercury,60,Neptune,1
Mercury,90,Neptune,-3
Mercury,120,Neptune,1
Mercury,180,Neptune,-2
Mercury,0,Pluto,1
Mercury,60,Pluto,1
Mercury,90,Pluto,-1
Mercury,120,Pluto,1
Mercury,180,Pluto,-1
Mercury,0,Ascendant,2
Mercury,60,Ascendant,1
Mercury,90,Ascendant,-1
Mercury,120,Ascendant,1
Mercury,180,Ascendant,2
Mercury,0,MC,2
Venus,0,Sun,3
Venus,60,Sun,3
Venus,90,Sun,-1
Venus,120,Sun,3
Venus,180,Sun,-2
Venus,0,Moon,3
Venus,60,Moon,3
Venus,90,Moon,-1
Venus,120,Moon,3
Venus,180,Moon,-1
Venus,0,Mercury,2
Venus,60,Mercury,2
Venus,90,Mercury,-1
Venus,120,Mercury,2
Venus,180,Mercury,-1
Venus,0,Venus,3
Venus,60,Venus,3
Venus,90,Venus,-2
Venus,120,Venus,3
Venus,180,Venus,-2
Venus,0,Mars,3
Venus,60,Mars,3
Venus,90,Mars,-2
Venus,120,Mars,3
Venus,180,Mars,-1
Venus,0,Jupiter,2
Venus,60,Jupiter,2
Venus,90,Jupiter,1
Venus,120,Jupiter,2
Venus,180,Jupiter,1
Venus,0,Saturn,-1
Venus,60,Saturn,3
Venus,90,Saturn,-4
Venus,120,Saturn,3
Venus,180,Saturn,-3
Venus,0,Uranus,1
Venus,60,Uranus,1
Venus,90,Uranus,-1
Venus,120,Uranus,1
Venus,180,Uranus,-1
Venus,0,Neptune,-1
Venus,60,Neptune,2
Venus,90,Neptune,-3
Venus,120,Neptune,2
Venus,180,Neptune,-3
Venus,0,Pluto,1
Venus,60,Pluto,1
Venus,90,Pluto,-2
Venus,120,Pluto,1
Venus,180,Pluto,-2
Venus,0,Ascendant,3
Venus,60,Ascendant,2
Venus,90,Ascendant,1
Venus,120,Ascendant,2
Venus,180,Ascendant,1
Venus,0,MC,1
Mars,0,Sun,2
Mars,60,Sun,3
Mars,90,Sun,-2
Mars,120,Sun,3
Mars,180,Sun,-2
Mars,0,Moon,-1
Mars,60,Moon,2
Mars,90,Moon,-3
Mars,120,Moon,2
Mars,180,Moon,-2
Mars,0,Mercury,-1
Mars,60,Mercury,2
Mars,90,Mercury,-3
Mars,120,Mercury,2
Mars,180,Mercury,-3
Mars,0,Venus,3
Mars,60,Venus,3
Mars,90,Venus,-2
Mars,120,Venus,3
Mars,180,Venus,-1
Mars,0,Mars,2
Mars,60,Mars,2
Mars,90,Mars,-4
Mars,120,Mars,2
Mars,180,Mars,-2
Mars,0,Jupiter,2
Mars,60,Jupiter,2
Mars,90,Jupiter,-1
Mars,120,Jupiter,2
Mars,180,Jupiter,-1
Mars,0,Saturn,-3
Mars,60,Saturn,1
Mars,90,Saturn,-4
Mars,120,Saturn,1
Mars,180,Saturn,-4
Mars,0,Uranus,1
Mars,60,Uranus,1
Mars,90,Uranus,-1
Mars,120,Uranus,1
Mars,180,Uranus,-1
Mars,0,Neptune,-2
Mars,60,Neptune,1
Mars,90,Neptune,-2
Mars,120,Neptune,1
Mars,180,Neptune,-2
Mars,0,Pluto,-2
Mars,60,Pluto,2
Mars,90,Pluto,-2
Mars,120,Pluto,2
Mars,180,Pluto,-2
Mars,0,Ascendant,1
Mars,60,Ascendant,2
Mars,90,Ascendant,-1
Mars,120,Ascendant,2
Mars,180,Ascendant,-1
Jupiter,0,Sun,3
Jupiter,60,Sun,3
Jupiter,90,Sun,1
Jupiter,120,Sun,3
Jupiter,180,Sun,1
Jupiter,0,Moon,3
Jupiter,60,Moon,3
Jupiter,90,Moon,-1
Jupiter,120,Moon,3
Jupiter,180,Moon,-1
Jupiter,0,Mercury,3
Jupiter,60,Mercury,3
Jupiter,90,Mercury,-1
Jupiter,120,Mercury,3
Jupiter,180,Mercury,-1
Jupiter,0,Venus,2
Jupiter,60,Venus,2
Jupiter,90,Venus,1
Jupiter,120,Venus,2
Jupiter,180,Venus,1
Jupiter,0,Mars,2
Jupiter,60,Mars,2
Jupiter,90,Mars,-1
Jupiter,120,Mars,2
Jupiter,180,Mars,-1
Jupiter,0,Jupiter,2
Jupiter,60,Jupiter,2
Jupiter,90,Jupiter,-1
Jupiter,120,Jupiter,2
Jupiter,180,Jupiter,-1
Jupiter,0,Saturn,1
Jupiter,60,Saturn,1
Jupiter,90,Saturn,-1
Jupiter,120,Saturn,1
Jupiter,180,Saturn,-1
Jupiter,0,Uranus,1
Jupiter,60,Uranus,1
Jupiter,90,Uranus,1
Jupiter,120,Uranus,1
Jupiter,180,Uranus,1
Jupiter,0,Neptune,1
Jupiter,60,Neptune,1
Jupiter,90,Neptune,-1
Jupiter,120,Neptune,1
Jupiter,180,Neptune,-1
Jupiter,0,Pluto,1
Jupiter,60,Pluto,1
Jupiter,90,Pluto,-1
Jupiter,120,Pluto,1
Jupiter,180,Pluto,-1
Jupiter,0,Ascendant,2
Jupiter,60,Ascendant,1
Jupiter,90,Ascendant,1
Jupiter,120,Ascendant,1
Jupiter,180,Ascendant,2
Saturn,0,Sun,-2
Saturn,60,Sun,2
Saturn,90,Sun,-2
Saturn,120,Sun,3
Saturn,180,Sun,-2
Saturn,0,Moon,-2
Saturn,60,Moon,2
Saturn,90,Moon,-4
Saturn,120,Moon,2
Saturn,180,Moon,-4
Saturn,0,Mercury,-2
Saturn,60,Mercury,1
Saturn,90,Mercury,-2
Saturn,120,Mercury,1
Saturn,180,Mercury,-2
Saturn,0,Venus,-1
Saturn,60,Venus,3
Saturn,90,Venus,-4
Saturn,120,Venus,3
Saturn,180,Venus,-3
Saturn,0,Mars,-2
Saturn,60,Mars,1
Saturn,90,Mars,-4
Saturn,120,Mars,1
Saturn,180,Mars,-4
Saturn,0,Jupiter,1
Saturn,60,Jupiter,1
Saturn,90,Jupiter,-1
Saturn,120,Jupiter,1
Saturn,180,Jupiter,-1
Saturn,0,Saturn,-1
Saturn,60,Saturn,1
Saturn,90,Saturn,-1
Saturn,120,Saturn,1
Saturn,180,Saturn,-1
Saturn,0,Uranus,-1
Saturn,60,Uranus,1
Saturn,90,Uranus,-1
Saturn,120,Uranus,1
Saturn,180,Uranus,-1
Saturn,0,Neptune,-1
Saturn,60,Neptune,1
Saturn,90,Neptune,-1
Saturn,120,Neptune,1
Saturn,180,Neptune,-1
Saturn,0,Pluto,-1
Saturn,60,Pluto,1
Saturn,90,Pluto,-1
Saturn,120,Pluto,1
Saturn,180,Pluto,-1
Saturn,0,Ascendant,-2
Saturn,60,Ascendant,1
Saturn,90,Ascendant,-2
Saturn,120,Ascendant,1
Saturn,180,Ascendant,-2
Uranus,0,Sun,-1
Uranus,60,Sun,1
Uranus,90,Sun,-1
Uranus,120,Sun,1
Uranus,180,Sun,-1
Uranus,0,Moon,-1
Uranus,60,Moon,2
Uranus,90,Moon,-2
Uranus,120,Moon,2
Uranus,180,Moon,-2
Uranus,0,Mercury,1
Uranus,60,Mercury,1
Uranus,90,Mercury,1
Uranus,120,Mercury,1
Uranus,180,Mercury,1
Uranus,0,Venus,1
Uranus,60,Venus,1
Uranus,90,Venus,-1
Uranus,120,Venus,1
Uranus,180,Venus,-1
Uranus,0,Mars,1
Uranus,60,Mars,1
Uranus,90,Mars,-1
Uranus,120,Mars,1
Uranus,180,Mars,-1
Uranus,0,Jupiter,1
Uranus,60,Jupiter,1
Uranus,90,Jupiter,1
Uranus,120,Jupiter,1
Uranus,180,Jupiter,1
Uranus,0,Saturn,-1
Uranus,60,Saturn,1
Uranus,90,Saturn,-1
Uranus,120,Saturn,1
Uranus,180,Saturn,-1
Uranus,180,Ascendant,-2
Neptune,0,Sun,-2
Neptune,60,Sun,1
Neptune,90,Sun,-2
Neptune,120,Sun,1
Neptune,180,Sun,-2
Neptune,0,Moon,-1
Neptune,60,Moon,2
Neptune,90,Moon,-3
Neptune,120,Moon,2
Neptune,180,Moon,-3
Neptune,60,Mercury,1
Neptune,90,Mercury,-3
Neptune,120,Mercury,1
Neptune,180,Mercury,-2
Neptune,0,Venus,-1
Neptune,60,Venus,2
Neptune,90,Venus,-3
Neptune,120,Venus,2
Neptune,180,Venus,-3
Neptune,0,Mars,-2
Neptune,60,Mars,1
Neptune,90,Mars,-2
Neptune,120,Mars,1
Neptune,180,Mars,-2
Neptune,0,Jupiter,1
Neptune,60,Jupiter,1
Neptune,90,Jupiter,-1
Neptune,120,Jupiter,1
Neptune,180,Jupiter,-1
Neptune,0,Saturn,-1
Neptune,60,Saturn,1
Neptune,90,Saturn,-1
Neptune,120,Saturn,1
Neptune,180,Saturn,-1
Neptune,0,Ascendant,-1
Neptune,180,Ascendant,-1
